Sample_01_1 	Sample_01_2 	Sample_01_3 	Sample_02_1 	Sample_02_2 	Sample_02_3 	Sample_03_1 	Sample_03_2 	Sample_03_3 	Sample_06_1 	Sample_06_2 	Sample_06_3 	Sample_07_1 	Sample_07_2 	Sample_07_3 	Sample_08_1 	Sample_08_2 	Sample_08_3 	Sample_09_1 	Sample_09_2 	Sample_09_3 	Sample_10_1 	Sample_10_2 	Sample_10_3 	Sample_12_1 	Sample_12_2 	Sample_12_3 	Sample_13_1 	Sample_13_2 	Sample_13_3 	Sample_15_1 	Sample_15_2 	Sample_15_3
ti|226186|org|Bacteroides_thetaiotaomicron_VPI-5482 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3058 	10386 	28243 	4139 	12280 	12635 	0 	2337 	2949 	0 	0 	0 	3302 	1786 	0 	2473 	4673 	5140 	0 	0 	2272 	0 	0 	2401
ti|566546|org|Escherichia_coli_W 	0 	0 	0 	0 	0 	867 	0 	0 	0 	0 	0 	0 	0 	0 	1332 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|751585|org|Coprococcus_sp._ART55/1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4056 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|435591|org|Parabacteroides_distasonis_ATCC_8503 	0 	0 	79 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|515619|org|Eubacterium_rectale_ATCC_33656 	0 	37997 	0 	111780 	69218 	84758 	0 	0 	0 	23635 	52502 	15103 	57359 	24297 	22503 	53045 	20573 	52584 	82673 	52388 	72202 	0 	34556 	122732 	59225 	13368 	26229 	23646 	34269 	16648 	0 	2599 	0
ti|349741|org|Akkermansia_muciniphila_ATCC_BAA-835 	0 	0 	0 	0 	1166 	0 	52043 	85171 	43105 	0 	0 	0 	0 	0 	0 	0 	0 	0 	24816 	10872 	14999 	0 	0 	0 	0 	0 	0 	0 	0 	0 	21772 	9391 	15025
ti|367928|org|Bifidobacterium_adolescentis_ATCC_15703 	0 	0 	0 	0 	0 	0 	16703 	10499 	6630 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2910 	9858 	0 	14574 	7594 	5662
ti|322159|org|Streptococcus_thermophilus_LMD-9 	353 	0 	21 	0 	0 	0 	0 	0 	0 	951 	0 	0 	1472 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1385 	0 	0 	0 	0 	0 	0 	0 	0
ti|213810|org|Ruminococcus_champanellensis_18P13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	18990 	35744 	0
ti|717959|org|Alistipes_shahii_WAL_8301 	0 	0 	0 	706 	2635 	348 	1913 	0 	4597 	0 	1089 	754 	0 	0 	0 	0 	0 	0 	3602 	3225 	3394 	0 	0 	1012 	0 	0 	0 	0 	0 	4462 	6154 	0 	5743
